ticker,official_truth,last_timestamp,last_remaining_min,last_distance,last_proxy_side,final60_n,final60_mean_distance,final60_proxy_side,final90_n,final90_mean_distance,final90_proxy_side,final120_n,final120_mean_distance,final120_proxy_side,last_proxy_correct,final60_proxy_correct,final90_proxy_correct,final120_proxy_correct,abs_last_distance,distance_bucket,near_strike_proxy_risk,proxy_disagrees_with_official
KXBTC15M-26AUG230930-30,UP,2026-08-23 13:29:50.157681+00:00,0.16403865,129.81999999999243,UP,2,134.99999999999272,UP,3,144.42999999999302,UP,4,152.9224999999933,UP,True,True,True,True,129.81999999999243,$100-$200,False,False
KXBTC15M-26AUG230945-45,UP,2026-08-23 13:44:50.253341+00:00,0.1624443166666666,56.90999999998894,UP,2,43.26999999998952,UP,3,39.69333333332421,UP,4,38.46749999999156,UP,True,True,True,True,56.90999999998894,$50-$100,True,False
KXBTC15M-26AUG231000-00,DOWN,2026-08-23 13:46:50.300294+00:00,13.161661766666668,-13.15999999998894,DOWN,0,,,0,,,0,,,True,False,False,False,13.15999999998894,$0-$25,True,False
KXBTC15M-26AUG231030-30,DOWN,2026-08-23 14:29:43.732018+00:00,0.2711330333333333,-103.04000000000816,DOWN,2,-84.11000000000786,DOWN,3,-76.70666666667482,DOWN,4,-77.3975000000064,DOWN,True,True,True,True,103.04000000000816,$100-$200,False,False
KXBTC15M-26AUG231045-45,DOWN,2026-08-23 14:44:43.745473+00:00,0.2709087833333333,-386.9199999999983,DOWN,2,-404.1100000000006,DOWN,3,-449.65333333333547,DOWN,4,-480.4975000000013,DOWN,True,True,True,True,386.9199999999983,$200-$500,False,False
KXBTC15M-26AUG231100-00,UP,2026-08-23 14:59:43.715236+00:00,0.2714127333333333,98.19000000000231,UP,2,111.84500000000116,UP,3,108.23333333333237,UP,4,112.97249999999985,UP,True,True,True,True,98.19000000000231,$50-$100,True,False
KXBTC15M-26AUG231115-15,UP,2026-08-23 15:14:43.680885+00:00,0.27198525,3.0499999999883585,UP,2,4.009999999987485,UP,3,20.089999999991658,UP,4,29.72249999999258,UP,True,True,True,True,3.0499999999883585,$0-$25,True,False
KXBTC15M-26AUG231130-30,UP,2026-08-23 15:29:43.771347+00:00,0.27047755,6.4799999999959255,UP,2,3.9949999999953434,UP,3,2.7099999999967017,UP,4,3.842499999995198,UP,True,True,True,True,6.4799999999959255,$0-$25,True,False
KXBTC15M-26AUG231145-45,UP,2026-08-23 15:44:43.735308+00:00,0.2710782,83.32000000000698,UP,2,96.21500000000378,UP,3,95.15000000000389,UP,4,92.72750000000451,UP,True,True,True,True,83.32000000000698,$50-$100,True,False
KXBTC15M-26AUG231200-00,DOWN,2026-08-23 15:59:43.946873+00:00,0.2675521166666667,-127.77999999999884,DOWN,2,-137.61499999999796,DOWN,3,-140.8166666666657,DOWN,4,-138.65749999999753,DOWN,True,True,True,True,127.77999999999884,$100-$200,False,False
