ticker,correct,call_side,initial_fair,initial_signed_distance,snapshots,rem_3p0,dist_3p0,fair_3p0,ask_3p0,rem_2p0,dist_2p0,fair_2p0,ask_2p0,rem_1p5,dist_1p5,fair_1p5,ask_1p5,rem_1p0,dist_1p0,fair_1p0,ask_1p0,rem_0p5,dist_0p5,fair_0p5,ask_0p5,first_flip_remaining,first_fair_below_75_remaining,first_fair_below_60_remaining,first_fair_below_50_remaining,first_fair_below_25_remaining,late3_min_distance,late3_max_distance,late3_min_fair,late3_max_fair,distance_change_3p0_to_2p0,fair_change_3p0_to_2p0,ask_change_3p0_to_2p0,distance_change_2p0_to_1p0,fair_change_2p0_to_1p0,ask_change_2p0_to_1p0,distance_change_1p5_to_0p5,fair_change_1p5_to_0p5,ask_change_1p5_to_0p5,distance_change_1p0_to_0p5,fair_change_1p0_to_0p5,ask_change_1p0_to_0p5
KXBTC15M-26AUG270615-15,False,UP,0.8018867924528301,104.52999999999884,11,2.65482615,50.27999999999884,0.7593984962406015,0.991,1.7616097000000002,47.69999999999709,0.890625,0.907,1.7616097000000002,47.69999999999709,0.890625,0.907,0.8572883833333333,-26.210000000006403,0.109375,0.4,0.8572883833333333,-26.210000000006403,0.109375,0.4,0.8572883833333333,0.8572883833333333,0.8572883833333333,0.8572883833333333,0.8572883833333333,-26.210000000006403,50.27999999999884,0.109375,0.890625,-2.5800000000017533,0.13122650375939848,-0.08399999999999996,-73.91000000000349,-0.78125,-0.507,-73.91000000000349,-0.78125,-0.507,0.0,0.0,0.0
KXBTC15M-26AUG231100-00,True,UP,0.8018867924528301,120.10000000000582,21,2.7716178166666667,132.13999999999942,0.9301075268817204,0.95,1.77057865,127.19000000000231,0.988095238095238,0.988,1.26924285,101.00999999999476,0.9301075268817204,0.992,0.7674198333333333,125.5,1.0,1.0,0.2714127333333333,98.19000000000231,0.988095238095238,1.0,,9.268611033333334,,,,87.61000000000058,132.13999999999942,0.8928571428571429,1.0,-4.949999999997104,0.057987711213517645,0.038000000000000034,-1.690000000002314,0.011904761904761973,0.01200000000000001,-2.819999999992447,0.057987711213517645,0.008000000000000007,-27.309999999997686,-0.011904761904761973,0.0
KXBTC15M-26AUG231200-00,True,DOWN,0.8018867924528301,104.7899999999936,19,2.7712637166666667,105.27000000000407,0.9301075268817204,0.959,1.7696641833333333,132.17999999999302,1.0,0.998,1.26858335,147.22000000000116,1.0,1.0,0.7665445,147.4499999999971,1.0,1.0,0.2675521166666667,127.77999999999884,1.0,1.0,,,,,,105.27000000000407,147.4499999999971,0.9301075268817204,1.0,26.90999999998894,0.06989247311827962,0.039000000000000035,15.270000000004075,0.0,0.0020000000000000018,-19.44000000000233,0.0,0.0,-19.669999999998254,0.0,0.0
KXBTC15M-26AUG231215-15,True,UP,0.8018867924528301,121.20999999999184,23,2.769437083333333,124.7899999999936,1.0,0.993,1.7687962833333333,105.25999999999476,1.0,0.988,1.267748,125.22000000000116,1.0,0.996,0.7688004500000001,117.30999999999769,1.0,1.0,0.2690016166666666,119.3799999999901,1.0,1.0,,,,,,105.25999999999476,125.22000000000116,1.0,1.0,-19.529999999998836,0.0,-0.0050000000000000044,12.050000000002925,0.0,0.01200000000000001,-5.8400000000110595,0.0,0.0040000000000000036,2.069999999992419,0.0,0.0
KXBTC15M-26AUG231315-15,True,DOWN,0.8018867924528301,150.5500000000029,24,2.7663255,146.9100000000035,0.988095238095238,0.974,1.7622726,104.73000000001048,1.0,0.98,1.2680281333333334,106.88999999999942,1.0,0.996,0.7693788333333333,129.58000000000175,1.0,1.0,0.2665448166666667,135.27999999999884,1.0,1.0,,9.266835716666666,,,,104.73000000001048,146.9100000000035,0.988095238095238,1.0,-42.179999999993015,0.011904761904761973,0.006000000000000005,24.84999999999127,0.0,0.020000000000000018,28.389999999999418,0.0,0.0040000000000000036,5.69999999999709,0.0,0.0
KXBTC15M-26AUG231530-30,True,UP,0.8018867924528301,61.73999999999069,19,3.1920804166666668,46.05999999999767,0.9301075268817204,0.89,2.1933156166666667,27.369999999995343,0.8018867924528301,0.84,1.6938809666666663,27.369999999995343,0.890625,0.925,1.1927450833333333,24.95999999999185,0.8928571428571429,0.89,0.51468885,34.95999999999185,0.988095238095238,0.98,,,,,,20.189999999987776,47.83999999999651,0.8018867924528301,0.988095238095238,-18.69000000000233,-0.12822073442889026,-0.050000000000000044,-2.4100000000034925,0.09097035040431278,0.050000000000000044,7.5899999999965075,0.09747023809523803,0.05499999999999994,10.0,0.09523809523809512,0.08999999999999997
KXBTC15M-26AUG231545-45,True,UP,1.0,-5.190000000002328,23,3.035516083333333,27.669999999998254,0.7593984962406015,0.85,1.94602655,16.160000000003492,0.7593984962406015,0.86,1.475722633333333,45.36999999999534,0.988095238095238,0.86,1.1337914833333331,69.69999999999709,1.0,0.993,0.3348996166666666,81.16000000000349,1.0,1.0,8.917545200000001,8.128006066666666,8.128006066666666,6.5631078,,16.160000000003492,81.16000000000349,0.7261146496815287,1.0,-11.509999999994761,0.0,0.010000000000000009,53.5399999999936,0.24060150375939848,0.133,35.79000000000815,0.011904761904761973,0.14,11.460000000006403,0.0,0.007000000000000006
KXBTC15M-26AUG231600-00,True,DOWN,0.8018867924528301,40.55999999999767,22,2.767567716666667,85.38999999999942,0.988095238095238,0.981,1.9787212333333333,99.63000000000466,1.0,0.991,1.6758672833333332,57.91000000000349,0.988095238095238,0.99,0.8848502,77.44000000000233,1.0,0.991,0.3792690666666666,85.38999999999942,1.0,1.0,,,,,,57.91000000000349,99.63000000000466,0.988095238095238,1.0,14.240000000005239,0.011904761904761973,0.010000000000000009,-22.19000000000233,0.0,0.0,27.479999999995925,0.011904761904761973,0.010000000000000009,7.94999999999709,0.0,0.009000000000000008
KXBTC15M-26AUG231615-15,True,DOWN,0.8018867924528301,140.05999999999767,30,2.915163966666667,61.51000000000931,0.9655172413793104,0.933,2.1098814166666666,66.75,1.0,0.96,1.68351775,78.93000000000757,0.988095238095238,0.96,0.8803247333333334,77.61000000000058,1.0,0.999,0.5131284,72.27000000000407,1.0,1.0,,11.281078316666669,11.281078316666669,,,61.51000000000931,85.91999999999825,0.9655172413793104,1.0,5.239999999990687,0.03448275862068961,0.026999999999999913,10.860000000000582,0.0,0.039000000000000035,-6.6600000000034925,0.011904761904761973,0.040000000000000036,-5.3399999999965075,0.0,0.0010000000000000009
KXBTC15M-26AUG231630-30,True,UP,0.890625,31.269999999989523,28,3.060058133333333,112.52999999999884,1.0,0.994,2.2478931833333333,113.88999999999942,1.0,0.993,1.4441983166666668,124.77999999999884,1.0,0.999,0.8710599833333333,132.30999999999767,1.0,1.0,0.6414086999999999,121.5399999999936,1.0,1.0,,10.654652633333336,,,,106.25999999999476,132.30999999999767,1.0,1.0,1.360000000000582,0.0,-0.0010000000000000009,18.419999999998254,0.0,0.007000000000000006,-3.2400000000052387,0.0,0.0010000000000000009,-10.770000000004075,0.0,0.0
